feature
is_home_target
opp_def_cumulative_avg_points_allowed_rank
target_off_cumulative_avg_score_rank
def_target_run_left_end_yards_per_attempt_garbage_trailing_rolling_average_rank
off_target_early_down_success_rate_competitive_ewma_average_rank
off_opp_snap_share_garbage_leading_cumulative_average_rank
off_target_success_rate_competitive_cumulative_average_rank
opp_off_cumulative_avg_score_rank
off_target_snap_share_garbage_leading_cumulative_average_rank
off_opp_success_rate_competitive_ewma_average_rank
def_target_rushing_yards_cumulative_average_rank
def_target_run_right_end_explosive_rate_garbage_trailing_cumulative_average_rank
def_opp_snap_share_garbage_leading_ewma_average_rank
def_target_snap_share_garbage_leading_ewma_average_rank
off_target_success_rate_competitive_ewma_average_rank
off_opp_success_rate_competitive_cumulative_average_rank
def_target_rushing_first_downs_rolling_average_rank
off_opp_passing_epa_cumulative_average_rank
def_target_snap_share_garbage_leading_cumulative_average_rank
off_opp_success_rate_competitive_rolling_average_rank
def_opp_run_left_end_yards_per_attempt_garbage_trailing_rolling_average_rank
target_def_cumulative_avg_points_allowed_rank
off_target_sack_yards_rolling_average_rank
def_opp_run_right_end_explosive_rate_garbage_trailing_ewma_average_rank
def_opp_down3_short_pass_rate_garbage_leading_ewma_average_rank
def_target_passing_tds_cumulative_average_rank
off_target_run_left_tackle_yards_per_attempt_garbage_leading_rolling_average_rank
off_target_interceptions_cumulative_average_rank
off_opp_early_down_success_rate_competitive_cumulative_average_rank
def_opp_snap_share_garbage_leading_cumulative_average_rank
def_opp_run_right_end_yards_per_attempt_garbage_trailing_ewma_average_rank
off_opp_down2_long_success_rate_run_garbage_trailing_ewma_average_rank
def_target_down3_long_conversion_rate_run_garbage_trailing_ewma_average_rank
off_target_down2_long_success_rate_run_competitive_cumulative_average_rank
off_opp_third_down_conversion_rate_garbage_trailing_rolling_average_rank
off_target_pass_success_rate_competitive_rolling_average_rank
off_opp_qb_hit_rate_competitive_cumulative_average_rank
off_target_pen_drawn_rate_competitive_ewma_average_rank
def_target_run_right_end_yards_per_attempt_garbage_trailing_ewma_average_rank
off_opp_down3_long_conversion_rate_pass_garbage_trailing_cumulative_average_rank
off_opp_down2_med_success_rate_pass_competitive_cumulative_average_rank
def_opp_carries_cumulative_average_rank
off_target_down2_med_success_rate_pass_garbage_trailing_ewma_average_rank
def_opp_fumble_lost_rate_garbage_trailing_cumulative_average_rank
def_opp_down2_short_success_rate_run_garbage_trailing_cumulative_average_rank
def_opp_down2_long_success_rate_pass_garbage_trailing_cumulative_average_rank
def_opp_stuff_rate_garbage_trailing_rolling_average_rank
def_target_seconds_per_play_competitive_rolling_average_rank
def_opp_down3_long_conversion_rate_pass_competitive_ewma_average_rank_change
off_target_sack_yards_cumulative_average_rank
off_opp_down3_long_conversion_rate_pass_competitive_rolling_average_rank
off_opp_cpoe_garbage_trailing_cumulative_average_rank
off_target_epa_per_play_garbage_leading_ewma_average_rank
off_opp_epa_per_play_garbage_trailing_rolling_average_rank
def_opp_run_middle_explosive_rate_competitive_cumulative_average_rank
off_target_run_left_tackle_yards_per_attempt_competitive_cumulative_average_rank
off_opp_pass_short_middle_explosive_rate_competitive_rolling_average_rank_change
off_target_down3_short_conversion_rate_pass_competitive_ewma_average_rank
